Index,NF Instance ID,Data Network Name,PNFNS Index,PDU Session Type,Priority Switch,Priority,Capacity Switch,Capacity
3302,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.awn.512k.not           ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3303,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.awn.384k.not           ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3304,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.gbr.ng.10m.t           ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3305,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.gbr.ng.10m.not         ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5100,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,awn.mideatest.10m            ,4100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5101,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,awn.mideatest.max30g         ,4100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5102,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,awn.mideatest.10m            ,4101,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5103,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,awn.mideatest.10m            ,4104,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5104,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,awn.mideatest.max30g         ,4105,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5105,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,awn.mideatest.max30g         ,4106,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5106,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,prb.gbr.midea.agv10m         ,4107,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5107,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,prb.midea.agv.unlim          ,4107,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5108,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,prb.midea.vdo.unlim          ,4108,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5109,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,prb.midea.moni.unlim         ,4109,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5110,4348d52a-bc9e-4899-b1b4-1fc65c007a0b,awn.mideatest.10m            ,4107,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
5200,c652d811-39f8-4f97-b948-ee14f5bb67b3,awn.mideatest.10m            ,4200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5201,c652d811-39f8-4f97-b948-ee14f5bb67b3,awn.mideatest.10m            ,4201,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5202,c652d811-39f8-4f97-b948-ee14f5bb67b3,awn.mideatest.max30g         ,4200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5203,c652d811-39f8-4f97-b948-ee14f5bb67b3,awn.mideatest.10m            ,4204,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5204,c652d811-39f8-4f97-b948-ee14f5bb67b3,awn.mideatest.max30g         ,4205,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5205,c652d811-39f8-4f97-b948-ee14f5bb67b3,awn.mideatest.max30g         ,4206,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5206,c652d811-39f8-4f97-b948-ee14f5bb67b3,prb.gbr.midea.agv10m         ,4207,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5207,c652d811-39f8-4f97-b948-ee14f5bb67b3,prb.midea.agv.unlim          ,4207,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5208,c652d811-39f8-4f97-b948-ee14f5bb67b3,prb.midea.vdo.unlim          ,4208,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5209,c652d811-39f8-4f97-b948-ee14f5bb67b3,prb.midea.moni.unlim         ,4209,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
5210,c652d811-39f8-4f97-b948-ee14f5bb67b3,awn.mideatest.10m            ,4207,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,200,INHERIT          ,0
9100,3d5a0697-2a3c-43bc-7d7e-0425592b5489,teststaff                    ,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9101,3d5a0697-2a3c-43bc-7d7e-0425592b5489,testcpe                      ,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9102,3d5a0697-2a3c-43bc-7d7e-0425592b5489,test5gsacwg                  ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
